id,zip_code,country,state,city,created_at,updated_at
180,517325,India,Andhra Pradesh,Chittoor,,
181,515455,India,Andhra Pradesh,Anantapur,,
182,522310,India,Andhra Pradesh,Guntur,,
183,533005,India,Andhra Pradesh,East Godavari,,
184,500049,India,Andhra Pradesh,Hyderabad,,
185,522503,India,Andhra Pradesh,Guntur,,
186,531230,India,Andhra Pradesh,Vizianagaram,,
187,531149,India,Andhra Pradesh,Vishakhapatnam,,
188,531151,India,Andhra Pradesh,Vishakhapatnam,,
189,532401,India,Andhra Pradesh,Srikakulam,,
190,534230,India,Andhra Pradesh,West Godavari,,
191,515001,India,Andhra Pradesh,Anantapur,,
192,524119,India,Andhra Pradesh,Nellore,,
193,503224,India,Andhra Pradesh,Nizamabad,,
194,503224,India,Andhra Pradesh,Nizamabad,,
195,503224,India,Andhra Pradesh,Nizamabad,,
196,517330,India,Andhra Pradesh,Chittoor,,
197,508112,India,Andhra Pradesh,Nalgonda,,
198,523335,India,Andhra Pradesh,Prakasam,,
199,521114,India,Andhra Pradesh,Krishna,,
200,534152,India,Andhra Pradesh,West Godavari,,
201,517129,India,Andhra Pradesh,Chittoor,,
202,520002,India,Andhra Pradesh,Krishna,,
203,522002,India,Andhra Pradesh,Guntur,,
204,522601,India,Andhra Pradesh,Guntur,,
205,502220,India,Andhra Pradesh,Medak,,
206,533104,India,Andhra Pradesh,East Godavari,,
207,505173,India,Andhra Pradesh,Karimnagar,,
208,500020,India,Andhra Pradesh,Hyderabad,,
209,518005,India,Andhra Pradesh,Kurnool,,
210,506133,India,Andhra Pradesh,Warangal,,
211,507116,India,Andhra Pradesh,Khammam,,
212,500028,India,Andhra Pradesh,Hyderabad,,
213,504293,India,Andhra Pradesh,Asifabad,,
214,518347,India,Andhra Pradesh,Kurnool,,
215,507301,India,Andhra Pradesh,Khammam,,
216,522409,India,Andhra Pradesh,Guntur,,
217,531011,India,Andhra Pradesh,Vishakhapatnam,,
218,516501,India,Andhra Pradesh,Cuddapah,,
219,515751,India,Andhra Pradesh,Anantapur,,
220,518422,India,Andhra Pradesh,Kurnool,,
221,502292,India,Andhra Pradesh,Medak,,
222,508111,India,Andhra Pradesh,Nalgonda,,
223,524322,India,Andhra Pradesh,Nellore,,
224,506342,India,Andhra Pradesh,Warangal,,
225,509131,India,Andhra Pradesh,Mahboobnagar,,
226,533235,India,Andhra Pradesh,East Godavari,,
227,534134,India,Andhra Pradesh,West Godavari,,
228,534134,India,Andhra Pradesh,West Godavari,,
229,521211,India,Andhra Pradesh,Krishna,,
230,509363,India,Andhra Pradesh,Mahboobnagar,,
231,530012,India,Andhra Pradesh,Vishakhapatnam,,
232,521121,India,Andhra Pradesh,Krishna,,
233,521121,India,Andhra Pradesh,Krishna,,
234,533230,India,Andhra Pradesh,East Godavari,,
235,530001,India,Andhra Pradesh,Vishakhapatnam,,
236,517109,India,Andhra Pradesh,Chittoor,,
237,520003,India,Andhra Pradesh,Krishna,,
238,517278,India,Andhra Pradesh,Chittoor,,
239,501504,India,Andhra Pradesh,Ranga Reddy,,
240,500038,India,Andhra Pradesh,Hyderabad,,
241,515862,India,Andhra Pradesh,Anantapur,,
